position,wrong entropy,correct entropy,Incorrectly Classified,Correctly Classified
16,,1.35E-31,,-30.86844775
17,,6.17E-36,,-35.20984535
18,,2.77E-40,,-39.55731612
19,,2.77E-40,,-39.55731612
20,,2.77E-40,,-39.55731612
21,,2.77E-40,,-39.55731612
0,0.089617842,,-1.047605516,
1,0.001076097,,-2.968148487,
2,5.66E-08,,-7.246834505,
3,2.91E-07,,-6.536405172,
4,2.91E-07,,-6.536405172,
5,2.91E-07,,-6.536405172,
6,2.91E-07,,-6.535899259,
7,5.50E-06,,-5.259900112,
8,0.04896837,,-1.310084355,
9,,0.061992151,,-1.207663295
10,,6.80E-06,,-5.167627918
11,,4.46E-10,,-9.351021087
12,,2.50E-14,,-13.60280424
13,,1.25E-18,,-17.9032868
14,,6.14E-23,,-22.21174054
15,,2.92E-27,,-26.53486994
16,,1.35E-31,,-30.86844775
17,,6.17E-36,,-35.20984535
18,,2.77E-40,,-39.55731612
19,,2.77E-40,,-39.55731612
20,,2.77E-40,,-39.55731612
21,,2.77E-40,,-39.55731612
0,0.118682197,,-0.925614423,
1,0.118682197,,-0.925614423,
2,,0.421836458,,-0.374855888
3,,0.421836458,,-0.374855888
4,,0.421836458,,-0.374855888
0,0.018440537,,-1.73422644,
1,6.46E-06,,-5.190088909,
2,6.46E-06,,-5.190088909,
3,6.46E-06,,-5.190088909,
4,0.005400837,,-2.267538923,
5,,0.423002793,,-0.373656766
6,,7.36E-05,,-4.133224841
7,,5.18E-09,,-8.28589073
8,,2.97E-13,,-12.52678963
9,,1.52E-17,,-16.81867668
10,,7.54E-22,,-21.12243504
11,,3.61E-26,,-25.44234636
12,,1.68E-30,,-29.77358091
13,,7.71E-35,,-34.113196
14,,3.47E-39,,-38.45926523
15,,1.55E-43,,-42.8104585
16,,6.83E-48,,-47.16581871
17,,6.83E-48,,-47.16581871
18,,6.83E-48,,-47.16581871
19,,6.83E-48,,-47.16581871
0,0.118682197,,-0.925614423,
1,0.118682197,,-0.925614423,
2,,0.421836458,,-0.374855888
3,,0.421836458,,-0.374855888
4,,0.421836458,,-0.374855888
0,0.089617842,,-1.047605516,
1,0.001076097,,-2.968148487,
2,5.66E-08,,-7.246834505,
3,2.91E-07,,-6.536405172,
4,2.91E-07,,-6.536405172,
5,2.91E-07,,-6.536405172,
6,2.91E-07,,-6.535899259,
7,5.50E-06,,-5.259900112,
8,0.04896837,,-1.310084355,
9,,0.061992151,,-1.207663295
10,,6.80E-06,,-5.167627918
11,,4.46E-10,,-9.351021087
12,,2.50E-14,,-13.60280424
13,,1.25E-18,,-17.9032868
14,,6.14E-23,,-22.21174054
15,,2.92E-27,,-26.53486994
16,,1.35E-31,,-30.86844775
17,,6.17E-36,,-35.20984535
18,,2.77E-40,,-39.55731612
19,,2.77E-40,,-39.55731612
20,,2.77E-40,,-39.55731612
21,,2.77E-40,,-39.55731612
22,,2.77E-40,,-39.55731612
23,,2.77E-40,,-39.55731612
24,,2.77E-40,,-39.55731612
0,0.118682197,,-0.925614423,
1,0.118682197,,-0.925614423,
2,,0.421836458,,-0.374855888
3,,0.421836458,,-0.374855888
4,,0.421836458,,-0.374855888
0,0.018440537,,-1.73422644,
1,6.46E-06,,-5.190088909,
2,6.46E-06,,-5.190088909,
3,6.46E-06,,-5.190088909,
4,0.005400837,,-2.267538923,
5,,0.423002793,,-0.373656766
6,,7.36E-05,,-4.133224841
7,,5.18E-09,,-8.28589073
8,,2.97E-13,,-12.52678963
9,,1.52E-17,,-16.81867668
10,,7.54E-22,,-21.12243504
11,,3.61E-26,,-25.44234636
12,,1.68E-30,,-29.77358091
13,,7.71E-35,,-34.113196
14,,3.47E-39,,-38.45926523
15,,1.55E-43,,-42.8104585
16,,6.83E-48,,-47.16581871
17,,6.83E-48,,-47.16581871
18,,6.83E-48,,-47.16581871
19,,6.83E-48,,-47.16581871
0,0.089617842,,-1.047605516,
1,0.001076097,,-2.968148487,
2,5.66E-08,,-7.246834505,
3,2.91E-07,,-6.536405172,
4,2.91E-07,,-6.536405172,
5,2.91E-07,,-6.536405172,
6,2.91E-07,,-6.535899259,
7,5.50E-06,,-5.259900112,
8,0.04896837,,-1.310084355,
9,,0.061992151,,-1.207663295
10,,6.80E-06,,-5.167627918
11,,4.46E-10,,-9.351021087
12,,2.50E-14,,-13.60280424
13,,1.25E-18,,-17.9032868
14,,6.14E-23,,-22.21174054
15,,2.92E-27,,-26.53486994
16,,1.35E-31,,-30.86844775
17,,6.17E-36,,-35.20984535
18,,2.77E-40,,-39.55731612
19,,2.77E-40,,-39.55731612
20,,2.77E-40,,-39.55731612
21,,2.77E-40,,-39.55731612
0,0.089617842,,-1.047605516,
1,0.001076097,,-2.968148487,
2,5.66E-08,,-7.246834505,
3,2.91E-07,,-6.536405172,
4,2.91E-07,,-6.536405172,
5,2.91E-07,,-6.536405172,
6,2.91E-07,,-6.535899259,
7,5.50E-06,,-5.259900112,
8,0.04896837,,-1.310084355,
9,,0.061992151,,-1.207663295
10,,6.80E-06,,-5.167627918
11,,4.46E-10,,-9.351021087
12,,2.50E-14,,-13.60280424
13,,1.25E-18,,-17.9032868
14,,6.14E-23,,-22.21174054
15,,2.92E-27,,-26.53486994
16,,1.35E-31,,-30.86844775
17,,6.17E-36,,-35.20984535
18,,2.77E-40,,-39.55731612
19,,2.77E-40,,-39.55731612
20,,2.77E-40,,-39.55731612
21,,2.77E-40,,-39.55731612
0,0.018440537,,-1.73422644,
1,6.46E-06,,-5.190088909,
2,6.46E-06,,-5.190088909,
3,6.46E-06,,-5.190088909,
4,0.005400837,,-2.267538923,
5,,0.423002793,,-0.373656766
6,,7.36E-05,,-4.133224841
7,,5.18E-09,,-8.28589073
8,,2.97E-13,,-12.52678963
9,,1.52E-17,,-16.81867668
10,,7.54E-22,,-21.12243504
11,,3.61E-26,,-25.44234636
12,,1.68E-30,,-29.77358091
13,,7.71E-35,,-34.113196
14,,3.47E-39,,-38.45926523
15,,1.55E-43,,-42.8104585
16,,6.83E-48,,-47.16581871
17,,6.83E-48,,-47.16581871
18,,6.83E-48,,-47.16581871
19,,6.83E-48,,-47.16581871
0,0.118682197,,-0.925614423,
1,0.118682197,,-0.925614423,
2,,0.421836458,,-0.374855888
3,,0.421836458,,-0.374855888
4,,0.421836458,,-0.374855888
0,0.089617842,,-1.047605516,
1,0.001076097,,-2.968148487,
2,5.66E-08,,-7.246834505,
3,2.91E-07,,-6.536405172,
4,2.91E-07,,-6.536405172,
5,2.91E-07,,-6.536405172,
6,2.91E-07,,-6.535899259,
7,5.50E-06,,-5.259900112,
8,0.04896837,,-1.310084355,
9,,0.061992151,,-1.207663295
10,,6.80E-06,,-5.167627918
11,,4.46E-10,,-9.351021087
12,,2.50E-14,,-13.60280424
13,,1.25E-18,,-17.9032868
14,,6.14E-23,,-22.21174054
15,,2.92E-27,,-26.53486994
16,,1.35E-31,,-30.86844775
17,,6.17E-36,,-35.20984535
18,,2.77E-40,,-39.55731612
19,,2.77E-40,,-39.55731612
20,,2.77E-40,,-39.55731612
21,,2.77E-40,,-39.55731612
0,0.118682197,,-0.925614423,
1,0.118682197,,-0.925614423,
2,,0.421836458,,-0.374855888
3,,0.421836458,,-0.374855888
4,,0.421836458,,-0.374855888
